fighter,total_fights,wins,losses,win_rate,ko_wins,sub_wins,dec_wins,ko_losses,sub_losses,dec_losses,ko_rate,sub_rate,dec_rate,finish_rate,current_streak,best_win_streak,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,height,reach,age,stance,wc_ranked,current_rank
Vinicius Oliveira,5,4,1,0.8,1,0,3,0,1,0,0.25,0.0,0.75,0.25,4,4,4.73,0.43,2.7,0.57,1.45,0.46,0.7,0.2,69.0,70.0,30.2,2.0,Bantamweight,13.0
Mario Bautista,14,11,3,0.7857142857142857,1,4,6,1,1,1,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.45454545454545453,-1,8,5.3,0.48,3.98,0.54,1.91,0.38,0.55,0.8,69.0,69.0,32.6,2.0,Bantamweight,9.0
Kyoji Horiguchi,10,9,1,0.9,2,1,6,0,1,0,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.3333333333333333,4,5,3.77,0.47,2.13,0.63,1.61,0.4,0.61,0.1,64.0,63.0,35.3,0.0,Flyweight,8.0
Amir Albazi,7,5,2,0.7142857142857143,1,2,2,0,0,2,0.2,0.4,0.4,0.6,5,5,2.47,0.33,3.88,0.59,1.18,0.25,0.62,0.4,65.0,68.0,32.3,0.0,Flyweight,6.0
Rizvan Kuniev,2,1,1,0.5,0,0,1,0,0,1,0.0,0.0,1.0,0.0,-1,1,3.94,0.54,2.33,0.48,0.98,0.75,0.93,0.0,76.0,76.0,33.9,0.0,,99.0
Jailton Almeida,11,8,3,0.7272727272727273,3,4,1,1,0,2,0.375,0.5,0.125,0.875,6,6,2.23,0.62,1.3,0.43,5.64,0.55,0.6,1.7,75.0,79.0,34.6,0.0,Heavyweight,6.0
Michal Oleksiejczuk,18,10,8,0.5555555555555556,8,0,2,0,5,2,0.8,0.0,0.2,0.8,-1,3,5.85,0.53,4.5,0.59,1.02,0.42,0.52,0.0,72.0,74.0,31.0,1.0,,99.0
Marc-Andre Barriault,17,7,10,0.4117647058823529,4,1,2,3,1,6,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.7142857142857143,-3,3,5.65,0.47,5.94,0.49,0.34,0.28,0.68,0.1,73.0,74.0,36.0,0.0,,99.0
Jean Matsumoto,5,3,2,0.6,0,1,2,0,0,2,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,2,5.37,0.39,5.41,0.47,3.0,0.48,0.56,0.5,66.0,68.0,26.4,0.0,,99.0
Farid Basharat,6,6,0,1.0,0,1,5,0,0,0,0.0,0.16666666666666666,0.8333333333333334,0.16666666666666666,6,6,4.25,0.52,2.89,0.62,3.34,0.44,0.54,0.3,68.0,71.0,28.5,0.0,,99.0
Julius Walker,3,1,2,0.3333333333333333,0,0,1,1,0,1,0.0,0.0,1.0,0.0,-1,1,3.73,0.53,4.03,0.43,4.09,0.38,1.0,0.0,76.0,78.0,26.6,0.0,,99.0
Dustin Jacoby,17,10,7,0.5882352941176471,7,0,3,1,1,5,0.7,0.0,0.3,0.7,-2,4,5.4,0.48,3.92,0.57,0.32,0.25,0.62,0.0,75.0,76.0,37.9,0.0,,99.0
Alex Morono,24,14,10,0.5833333333333334,3,2,9,3,0,7,0.21428571428571427,0.14285714285714285,0.6428571428571429,0.35714285714285715,3,4,4.9,0.39,4.88,0.55,0.32,0.24,0.47,0.3,71.0,72.0,35.5,0.0,,99.0
Daniil Donchenko,2,2,0,1.0,1,0,1,0,0,0,0.5,0.0,0.5,0.5,2,2,7.15,0.6,2.57,0.72,0.77,0.33,0.75,0.0,71.0,71.0,24.5,0.0,,99.0
Nikolay Veretennikov,5,2,3,0.4,1,0,1,1,0,2,0.5,0.0,0.5,0.5,-2,1,2.69,0.56,3.3,0.45,0.42,0.16,0.62,0.4,73.0,74.0,36.2,0.0,,99.0
Niko Price,20,8,12,0.4,4,2,2,7,2,2,0.5,0.25,0.25,0.75,1,2,5.13,0.43,5.61,0.48,0.98,0.28,0.5,0.6,72.0,76.0,36.4,0.0,,99.0
Ketlen Souza,6,3,3,0.5,0,1,2,0,1,2,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,-1,2,4.01,0.56,3.86,0.52,0.46,0.13,0.53,0.2,63.0,63.0,31.5,0.0,,99.0
Bruna Brasil,7,3,4,0.42857142857142855,0,0,3,1,0,3,0.0,0.0,1.0,0.0,-1,1,2.57,0.56,3.59,0.52,1.4,0.55,0.61,0.1,66.0,65.0,32.4,0.0,,99.0
Javid Basharat,7,5,2,0.7142857142857143,0,0,4,1,0,1,0.0,0.0,0.8,0.0,4,4,5.18,0.54,2.75,0.63,1.83,0.4,0.83,0.1,69.0,69.0,30.4,0.0,,99.0
Gianni Vazquez,1,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-1,0,1.6,0.22,3.93,0.39,0.0,0.0,0.62,2.0,67.0,71.0,31.6,0.0,,99.0
Wang Cong,5,4,1,0.8,1,0,3,0,1,0,0.25,0.0,0.75,0.25,1,3,6.22,0.56,2.19,0.63,0.78,0.75,0.84,0.8,66.0,66.0,33.8,1.0,Women's Flyweight,12.0
Eduarda Moura,5,3,2,0.6,1,0,2,0,0,2,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1,2,2.57,0.37,2.5,0.58,3.58,0.34,0.8,0.4,66.0,67.0,32.0,0.0,Women's Flyweight,13.0
Muin Gafurov,5,2,3,0.4,0,0,2,0,2,1,0.0,0.0,1.0,0.0,-2,2,3.36,0.47,2.51,0.55,1.57,0.28,0.7,0.0,67.0,68.0,29.8,0.0,,99.0
Jakub Wiklacz,2,2,0,1.0,0,1,1,0,0,0,0.0,0.5,0.5,0.5,2,2,3.4,0.44,3.87,0.46,0.0,0.0,0.41,2.5,70.0,72.0,29.4,0.0,,99.0
Klaudia Sygula,3,2,1,0.6666666666666666,0,0,2,1,0,0,0.0,0.0,1.0,0.0,-1,2,7.27,0.48,5.5,0.56,0.41,0.12,0.4,0.0,68.0,69.0,27.1,0.0,,99.0
Priscila Cachoeira,13,5,8,0.38461538461538464,4,0,1,1,4,3,0.8,0.0,0.2,0.8,-3,2,4.43,0.44,7.6,0.45,0.25,0.4,0.69,0.0,67.0,65.0,37.5,0.0,,99.0
Alexander Volkanovski,18,15,3,0.8333333333333334,5,0,10,2,0,1,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,12,12,5.99,0.57,3.31,0.58,1.63,0.34,0.68,0.2,66.0,71.0,37.4,0.0,Featherweight,0.0
Alexander Volkanovski,18,15,3,0.8333333333333334,5,0,10,2,0,1,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,12,12,5.99,0.57,3.31,0.58,1.63,0.34,0.68,0.2,66.0,71.0,37.4,0.0,Men's Pound-for-Pound,5.0
Diego Lopes,9,6,3,0.6666666666666666,3,1,2,0,0,3,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,-1,5,3.83,0.47,4.56,0.45,0.88,0.5,0.68,1.4,71.0,72.0,31.1,0.0,Featherweight,2.0
Dan Hooker,24,14,10,0.5833333333333334,7,2,5,4,2,4,0.5,0.14285714285714285,0.35714285714285715,0.6428571428571429,1,4,4.82,0.48,4.94,0.49,0.68,0.33,0.77,0.6,72.0,75.0,36.0,2.0,Lightweight,6.0
Benoit Saint Denis,12,9,3,0.75,5,4,0,2,0,1,0.5555555555555556,0.4444444444444444,0.0,1.0,-1,5,5.62,0.58,4.09,0.42,4.19,0.35,0.72,1.8,71.0,73.0,30.2,1.0,Lightweight,8.0
Rafael Fiziev,12,7,5,0.5833333333333334,3,0,4,3,0,2,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1,6,4.71,0.52,4.84,0.49,0.83,0.66,0.9,0.0,68.0,71.0,33.0,2.0,Lightweight,9.0
Mauricio Ruffy,5,4,1,0.8,3,0,1,0,1,0,0.75,0.0,0.25,0.75,3,3,4.19,0.58,4.09,0.58,0.0,0.0,0.85,0.0,71.0,75.0,29.7,0.0,Lightweight,14.0
Tallison Teixeira,3,2,1,0.6666666666666666,1,0,1,1,0,0,0.5,0.0,0.5,0.5,1,1,5.02,0.64,3.86,0.42,2.48,0.3,0.0,0.0,79.0,83.0,26.2,0.0,Heavyweight,15.0
Tai Tuivasa,17,8,9,0.47058823529411764,7,0,1,3,3,3,0.875,0.0,0.125,0.875,3,5,3.66,0.48,4.97,0.43,0.0,0.0,0.6,0.0,74.0,75.0,32.9,1.0,Heavyweight,12.0
Jamie Mullarkey,13,6,7,0.46153846153846156,2,0,4,4,1,2,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,-2,2,4.1,0.46,4.28,0.54,2.46,0.3,0.7,0.1,72.0,74.0,31.5,0.0,,99.0
Quillan Salkilld,4,4,0,1.0,2,1,1,0,0,0,0.5,0.25,0.25,0.75,4,4,5.16,0.57,3.24,0.44,7.95,0.36,0.9,0.8,72.0,75.0,26.1,0.0,,99.0
Junior Tafa,7,2,5,0.2857142857142857,2,0,0,1,3,1,1.0,0.0,0.0,1.0,-1,1,3.41,0.51,2.55,0.51,0.0,0.0,0.7,0.0,75.0,75.0,29.4,0.0,,99.0
Billy Elekana,4,3,1,0.75,0,2,1,0,1,0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,-1,3,2.71,0.56,3.59,0.46,0.85,0.22,0.0,0.8,75.0,77.0,30.7,1.0,,99.0
Cam Rowston,2,2,0,1.0,2,0,0,0,0,0,1.0,0.0,0.0,1.0,2,2,4.26,0.46,2.62,0.51,0.5,0.5,0.33,0.5,75.0,78.0,31.1,0.0,,99.0
Cody Brundage,14,5,9,0.35714285714285715,3,1,0,2,2,3,0.6,0.2,0.0,0.8,-1,2,2.29,0.5,3.03,0.49,1.87,0.44,0.68,0.6,72.0,72.0,31.8,0.0,,99.0
Torrez Finney,2,1,1,0.5,0,0,1,0,0,1,0.0,0.0,1.0,0.0,1,1,1.78,0.54,3.34,0.4,6.86,0.59,0.75,0.8,68.0,75.0,27.3,0.0,,99.0
Jacob Malkoun,8,5,3,0.625,1,0,4,1,0,1,0.2,0.0,0.8,0.2,-1,2,4.55,0.58,2.36,0.55,5.81,0.4,0.33,0.9,69.0,73.0,30.5,0.0,,99.0
